 192.168.1.3
RSSI: -42 dBm
Waiting for NTP time sync
✅ NTP synchronized: 2025-06-28 07:29:56
Initializing sensors...
Initializing I2C (SDA: 8, SCL: 9)...
✓ I2C initialized successfully
Initializing PMS7003 sensor...
Using PMS pins - RX: 16, TX: 17
✅ PMS7003 initialized!
Scanning I2C bus...
I2C device found at address 0x77
I2C scan complete. Found 1 device(s)
Searching for BME688 sensor...
Testing I2C address 0x77... Chip ID: 0x61 (BME688) ✅
✅ Using BME688 at address 0x77
BSEC initialization attempt 1/3...
❌ Failed to update BSEC subscription!
Retrying BSEC initialization...
BSEC initialization attempt 2/3...
❌ Failed to update BSEC subscription!
Retrying BSEC initialization...
BSEC initialization attempt 3/3...
❌ Failed to update BSEC subscription!
❌ BSEC initialization failed after 3 attempts!
❌ Sensor initialization failed!
timestamp,temp_c,humidity_%,pressure_hpa,iaq,co2_ppm,voc_ppm,pm1_0,pm2_5,pm10_0,baseline_ready,spike_detected,signature,total_spikes
2025-06-28 08:07:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:08:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:08:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:08:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:08:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:08:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:08:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:09:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:09:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:09:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:09:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:09:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:09:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:10:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:10:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:10:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:10:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:10:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:10:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:11:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:11:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:11:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:11:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:11:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:11:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:12:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:12:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:12:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:12:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:12:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:12:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:13:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:13:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:13:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:13:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:13:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:13:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:14:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:14:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:14:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:14:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:14:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:14:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:15:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:15:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:15:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:15:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:15:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:15:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:16:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:16:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:16:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:16:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:16:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:16:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:17:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:17:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:17:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:17:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:17:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:17:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:18:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:18:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:18:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:18:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:18:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:18:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:19:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:19:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:19:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:19:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:19:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:19:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:20:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:20:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:20:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:20:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:20:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:20:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:21:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:21:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:21:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:21:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:21:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:21:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:22:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:22:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:22:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:22:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:22:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:22:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:23:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:23:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:23:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:23:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:23:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:23:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:24:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:24:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:24:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:24:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:24:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:24:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:25:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:25:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:25:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:25:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:25:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:25:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:26:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:26:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:26:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:26:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:26:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:26:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:27:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:27:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:27:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:27:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:27:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:27:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:28:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:28:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:28:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:28:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:28:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:28:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:29:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:29:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:29:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:29:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:29:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:29:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:30:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:30:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:30:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:30:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:30:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:30:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:31:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:31:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:31:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:31:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:31:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:31:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:32:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:32:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:32:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:32:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:32:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:32:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:33:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:33:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:33:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:33:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:33:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:33:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:34:03,,,,,,,,,,,NO_DATA,NO,,0
